scientificName,x,y
Pterois volitans,-67.23859727,10.55236866
Pterois volitans,127.713,26.4415
Pterois volitans,-62.9554,18.2965
Pterois volitans,139.65861,-11.92611
Pterois volitans,-67.23860264,10.55233702
Pterois volitans,-83.07355,24.66551
Pterois volitans,129.839167,31.822222
Pterois volitans,72.8028,3.48326
Pterois volitans,-66.12154,17.89966
Pterois volitans,117.80667,-20.04083
Pterois volitans,-63.76796365,11.21524858
Pterois volitans,-81.335433,24.560067
Pterois volitans,-67.23852217,10.55230538
Pterois volitans,137.25,-14.151115
Pterois volitans,-67.21830368,10.55300151
Pterois volitans,-67.18439788,10.55632391
Pterois volitans,-66.85679555,10.61995417
Pterois volitans,34.4133,25.9024
Pterois volitans,117.2525,-19.72583
Pterois volitans,127.878333,26.6525
Pterois volitans,-65.23681641,10.293301
Pterois volitans,-64.26353663,10.56521775
Pterois volitans,117.908335,-20.008335
Pterois volitans,-80.460017,24.94585
Pterois volitans,115.731,-32.2739
Pterois volitans,145.25,-15.47
Pterois volitans,-81.5858,24.5037167
Pterois volitans,-67.55561829,10.5269695
Pterois volitans,114.191,-21.8166
Pterois volitans,-66.84400678,10.62239534
Pterois volitans,119.966667,15.25
Pterois volitans,130.21,31.28472222
Pterois volitans,116.608335,-20.2025
Pterois volitans,-80.1628,25.2939667
Pterois volitans,-81.1648,19.3524
Pterois volitans,-67.24008322,10.55164617
Pterois volitans,-65.19714,18.13869
Pterois volitans,34.3344,27.874
Pterois volitans,140.46833,-11.16083
Pterois volitans,57.516,-20.516
Pterois volitans,-83.0425333,24.6737667
Pterois volitans,48,-13.5
Pterois volitans,-81.656967,24.49005
Pterois volitans,-66.95998,17.89755
Pterois volitans,113.66064,-22.55396
Pterois volitans,-64.7252655,10.30913485
Pterois volitans,136.88514,-13.14264
Pterois volitans,115.795,-19.91
Pterois volitans,136.17625,-10.50847
Pterois volitans,120.4599991,22.47999954
Pterois volitans,-67.24309802,10.55081819
Pterois volitans,-64.60335374,10.28904684
Pterois volitans,-67.94559002,10.46299824
Pterois volitans,151.67866,-22.83447
Pterois volitans,-67.98374176,10.48544876
Pterois volitans,-66.08026,17.90486
Pterois volitans,155,-6
Pterois volitans,114.25,-22.08333
Pterois volitans,34.3277,27.9095
Pterois volitans,-67.74333,10.4982769
Pterois volitans,-82.87305,24.7023
Pterois volitans,107.7750015,8.215000153
Pterois volitans,2.184167,0.510278
Pterois volitans,-65.36292315,10.90689172
Pterois volitans,153.366667,-27.483333
Pterois volitans,-67.26718426,10.54776997
Pterois volitans,-79.98619843,26.89410019
Pterois volitans,-64.75582123,10.29929685
Pterois volitans,-64.75989819,10.29399771
Pterois volitans,-63.83056641,10.91961776
Pterois volitans,-82.7845,24.65445
Pterois volitans,153.633,-28.39166
Pterois volitans,34.2823,27.6431
Pterois volitans,119.315,11.1505
Pterois volitans,127.951115,-12.750695
Pterois volitans,-67.23908544,10.55415117
Pterois volitans,117.51,-20.145
Pterois volitans,98.765,7.67889
Pterois volitans,-80.5624,24.879733
Pterois volitans,-66.8452,10.6222
Pterois volitans,-64.75041389,10.26840858
Pterois volitans,-69.1588,12.2908
Pterois volitans,-81.98589,24.43224
Pterois volitans,-81.92109,24.43713
Pterois volitans,144.751111,13.478333
Pterois volitans,-81.39372,24.56497
Pterois volitans,140,-15.39306
Pterois volitans,-81.1060167,24.6236333
Pterois volitans,120.016,11.9785
Pterois volitans,-82.8430333,24.6563167
Pterois volitans,34.3088,27.8473
Pterois volitans,34.0731,26.5136
Pterois volitans,162.155,11.65
Pterois volitans,-83.10303,24.65014
Pterois volitans,-66.11572266,10.82251526
Pterois volitans,136.734305,-10.75111
Pterois volitans,128,-3
Pterois volitans,159.083,-33.55
Pterois volitans,35.711,24.1587
Pterois volitans,-69.0307,18.3676
Pterois volitans,106.9850006,10.14500046
Pterois volitans,-67.23853827,10.55203115
Pterois volitans,-67.94782162,10.4840984
Pterois volitans,-81.7097,24.5066
Pterois volitans,-80.704333,24.781317
Pterois volitans,-83.0146167,24.6572167
Pterois volitans,98.367,7.59106
Pterois volitans,-81.67901,24.47936
Pterois volitans,129.2666667,28.18666667
Pterois volitans,-83.233333,26.2
Pterois volitans,134.426385,-10.193335
Pterois volitans,-67.82375336,10.48241044
Pterois volitans,-80.5244,24.9052833
Pterois volitans,-66.3736,18.48955
Pterois volitans,137.450975,-12.533335
Pterois volitans,118.10583,-19.266665
Pterois volitans,-75.7706389,10.1748611
Pterois volitans,-81.22576,24.59567
Pterois volitans,-67.26928711,10.5526218
Pterois volitans,-77.9303,18.4895
Pterois volitans,153.36667,-27.48333
Pterois volitans,128.408056,27.031667
Pterois volitans,-82.88335,24.68295
Pterois volitans,153.41666,-27.96667
Pterois volitans,-80.09045,25.60466
Pterois volitans,117.355,-20.24
Pterois volitans,-86.4,16.3833
Pterois volitans,-67.74497956,10.49604178
Pterois volitans,-80.20955,25.1974167
Pterois volitans,125.76636,-8.50691
Pterois volitans,-81.879417,24.4491
Pterois volitans,169.333,-19.333
Pterois volitans,-65.38410187,10.91675234
Pterois volitans,-61.7907,12.0186
Pterois volitans,121.5,5.5
Pterois volitans,47.08694458,-25.0363884
Pterois volitans,145.451,-14.662
Pterois volitans,-80.4246,25.0708
Pterois volitans,117.1175,-20.2175
Pterois volitans,113.866667,-28.883333
Pterois volitans,123.32472,9.317914
Pterois volitans,118.82417,-19.5225
